model,feature_set,outer_fold,n_train,n_test,rmse,mae,r2,spearman_rho
chemprop,chemeleon,1,7614,1904,0.43238405763927173,0.32303916936417265,0.5318059550058233,0.7247498725813218
chemprop,chemeleon,2,7614,1904,0.46277333693988487,0.35498893280924954,0.5292881791173618,0.7249081078842641
chemprop,chemeleon,3,7614,1904,0.4523401696161844,0.34353194267060344,0.5112569179386186,0.7143003988274093
chemprop,chemeleon,4,7615,1903,0.4656117393533597,0.3522533454415469,0.4945794573580635,0.7059995470419393
chemprop,chemeleon,5,7615,1903,0.45171299199585985,0.3400891512486147,0.5455601769314162,0.7526809937423526
