model,feature_set,outer_fold,n_train,n_test,rmse,mae,r2,spearman_rho
chemprop,chemeleon,1,8647,2162,0.5216561813517723,0.37363246928029054,0.39536429603483825,0.623558157431084
chemprop,chemeleon,2,8647,2162,0.4591353841161924,0.33698344176126804,0.49342570914034134,0.6843575044943383
chemprop,chemeleon,3,8647,2162,0.4524950583888091,0.3393499884852567,0.437960457756303,0.6337532968753238
chemprop,chemeleon,4,8647,2162,0.4809655473846058,0.3550490840343535,0.4585242754495933,0.6651560077872992
chemprop,chemeleon,5,8648,2161,0.4946592415696093,0.36341260249604346,0.421093876873746,0.6242953319816882
