model,feature_set,outer_fold,n_train,n_test,rmse,mae,r2,spearman_rho
chemprop,chemeleon,1,5748,1437,0.4225802547003957,0.3271750831404907,0.5471617401244182,0.7476125658707958
chemprop,chemeleon,2,5748,1437,0.4243330735576197,0.32486973240421974,0.5469524770462729,0.7405556218171844
chemprop,chemeleon,3,5748,1437,0.41879803305672186,0.3240869335348024,0.5715999947104897,0.7418301197071361
chemprop,chemeleon,4,5748,1437,0.4286229545589062,0.32650027029532563,0.5449020318939661,0.746584767470261
chemprop,chemeleon,5,5748,1437,0.44650388700693955,0.3471679192246375,0.48621109568448195,0.7068119911238694
