model,feature_set,outer_fold,n_train,n_test,rmse,mae,r2,spearman_rho
chemprop,chemeleon,1,5748,1437,0.41726905558622696,0.32144389495969067,0.5584732001453927,0.7479307911525256
chemprop,chemeleon,2,5748,1437,0.4297125074848311,0.3310461873570995,0.5353927488749384,0.7370501739521397
chemprop,chemeleon,3,5748,1437,0.4204129633841658,0.32429531780210896,0.568289711454671,0.7438250350553168
chemprop,chemeleon,4,5748,1437,0.4328592329273146,0.32647790063481075,0.5358616903686289,0.7381467238435888
chemprop,chemeleon,5,5748,1437,0.4420828246124287,0.34440256027853483,0.4963352951182892,0.7111216296609402
