model,feature_set,outer_fold,n_train,n_test,rmse,mae,r2,spearman_rho
chemprop,chemeleon,1,14317,3580,0.4703998628982343,0.3449309788664925,0.4680426872281751,0.6817898412413386
chemprop,chemeleon,2,14317,3580,0.46655962432708525,0.3533169775359676,0.4706681258735411,0.6750164257297852
chemprop,chemeleon,3,14318,3579,0.4672528881088964,0.3491465409226662,0.4735417480535067,0.6791739395388738
chemprop,chemeleon,4,14318,3579,0.45098604759788696,0.34013131002659885,0.5033092846432906,0.6979622813047275
chemprop,chemeleon,5,14318,3579,0.4593474011078027,0.34572179389409685,0.5017749096165611,0.7077789014560538
