model,feature_set,outer_fold,n_train,n_test,rmse,mae,r2,spearman_rho
chemprop,chemeleon,1,3000,751,0.4075840634278264,0.3057786562193567,0.5431023586559847,0.754444385914415
chemprop,chemeleon,2,3001,750,0.4482473741695146,0.3406587740977605,0.5326968420021697,0.7562764373944119
chemprop,chemeleon,3,3001,750,0.41786530911993475,0.31393800960977875,0.595715541823507,0.7945843689200083
chemprop,chemeleon,4,3001,750,0.4272272063631778,0.32304900338252385,0.4866988954091649,0.72539383086535
chemprop,chemeleon,5,3001,750,0.41055486718927686,0.30663007789850233,0.5674168643338667,0.7752350521750134
