model,feature_set,outer_fold,n_train,n_test,rmse,mae,r2,spearman_rho
chemprop,chemeleon,1,5748,1437,0.4199053678883372,0.3281545402403084,0.556508050959974,0.7516050639970587
chemprop,chemeleon,2,5748,1437,0.42119357153441045,0.32877188586035616,0.5567956103996234,0.7477425772227971
chemprop,chemeleon,3,5748,1437,0.4063402953920541,0.3124383295119514,0.60135175326371,0.7620675951357467
chemprop,chemeleon,4,5748,1437,0.43378164812656045,0.32755626473645827,0.5364029666564913,0.7425307439732103
chemprop,chemeleon,5,5748,1437,0.45440242665725733,0.35203491828469824,0.4738706997952997,0.7053002120445258
