,mol_id,SMILES,hlm_value_unscaled,hlm_value_unscaled_log10_nan,hlm_value_unscaled_log10_epsilon,hlm_value_scaled,hlm_value_scaled_log10_nan,hlm_value_scaled_log10_epsilon,dataset,scaling_was_applied
16272,CHEMBL5197399,COc1cc(Nc2ncc(OCc3c(F)c(OC)cc(OC)c3F)cn2)cnc1N1CCC(N2CCN(C)CC2)CC1,26.0,1.414973347970818,1.414973347970818,26.0,1.414973347970818,1.414973347970818,chembl_dataset,False
16273,CHEMBL5191170,COc1cc(OC)c(F)c(COc2cnc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)nc3)nc2)c1F,34.0,1.5314789170422551,1.5314789170422551,34.0,1.5314789170422551,1.5314789170422551,chembl_dataset,False
16274,CHEMBL5189378,COc1cc(OC)c(F)c(COc2cnc(Nc3cnc(N4CCC(N5CCN(C)CC5)CC4)nc3)nc2)c1F,39.0,1.591064607026499,1.591064607026499,39.0,1.591064607026499,1.591064607026499,chembl_dataset,False
16275,CHEMBL4521212,COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C)nc34)CC2)CC1,0.037,-1.431798275933005,-1.431798275933005,0.037,-1.431798275933005,-1.431798275933005,chembl_dataset,False
16276,CHEMBL5179237,Cn1cc(Nc2nc(NC3(C)CC3)c3nc(CC#N)ccc3n2)cn1,0.082,-1.0861861476162833,-1.0861861476162833,0.082,-1.0861861476162833,-1.0861861476162833,chembl_dataset,False
16277,CHEMBL5173450,COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccn(C)c(=O)c34)CC2)CC1,0.022,-1.6575773191777938,-1.6575773191777938,0.022,-1.6575773191777938,-1.6575773191777938,chembl_dataset,False
16278,CHEMBL5184305,COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccn(CC#N)c(=O)c34)CC2)CC1,0.025,-1.6020599913279625,-1.6020599913279625,0.025,-1.6020599913279625,-1.6020599913279625,chembl_dataset,False
16279,CHEMBL5183067,Cn1cc(Nc2nc(NC3(C)CC3)c3c(=O)n(C)ccc3n2)cn1,0.013,-1.8860566476931635,-1.8860566476931635,0.013,-1.8860566476931635,-1.8860566476931635,chembl_dataset,False
16280,CHEMBL5174529,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,0.025,-1.6020599913279625,-1.6020599913279625,0.025,-1.6020599913279625,-1.6020599913279625,chembl_dataset,False
16281,CHEMBL5178970,CN1CC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CCC1=O,0.089,-1.0506099933550872,-1.0506099933550872,0.089,-1.0506099933550872,-1.0506099933550872,chembl_dataset,False
