model,feature_set,outer_fold,n_train,n_test,rmse,mae,r2,spearman_rho
chemprop,chemeleon,1,5748,1437,0.4212689548816776,0.32618670417520845,0.5536230115872025,0.7420951003749915
chemprop,chemeleon,2,5748,1437,0.42008471043240636,0.3278736064499588,0.5591261549612173,0.7471431059206012
chemprop,chemeleon,3,5748,1437,0.41847378966707116,0.32131769929130455,0.5771886876817182,0.7492525453310744
chemprop,chemeleon,4,5748,1437,0.4304022420659358,0.3283710994692254,0.5435981993548091,0.7478753156957324
chemprop,chemeleon,5,5748,1437,0.44895741985080967,0.3482084361396901,0.48640414348210514,0.7109235403163723
