model,feature_set,outer_fold,n_train,n_test,rmse,mae,r2,spearman_rho
chemprop,chemeleon,1,14317,3580,0.4736912001221111,0.3489929414098129,0.4757987281490603,0.6912461212523345
chemprop,chemeleon,2,14317,3580,0.4676278896843603,0.35059346798436675,0.48150895717228615,0.6855681433270252
chemprop,chemeleon,3,14318,3579,0.4736144334379201,0.35154402738611323,0.47359816766356444,0.6924736565908365
chemprop,chemeleon,4,14318,3579,0.4611592856868894,0.3458819590680541,0.4983412223635272,0.6985959199324918
chemprop,chemeleon,5,14318,3579,0.4637980883735213,0.34665874968559773,0.5074506552435835,0.7152509443161619
