model,feature_set,outer_fold,n_train,n_test,rmse,mae,r2,spearman_rho
chemprop,chemeleon,1,8647,2162,0.5355889954411401,0.38434153273241317,0.38046713175788716,0.6063336956557225
chemprop,chemeleon,2,8647,2162,0.4732662124671723,0.35017013387486157,0.475609672751369,0.6680213053623825
chemprop,chemeleon,3,8647,2162,0.4602517135217207,0.34564693914216954,0.43140990316015126,0.6325603746969073
chemprop,chemeleon,4,8647,2162,0.4770613724445297,0.35774982422918783,0.47898776232778517,0.6732595303166263
chemprop,chemeleon,5,8648,2161,0.49850348401125155,0.3658374098288175,0.42702225489579293,0.6306406624630383
